figure_id,requirement_level,status,output_key,path,data_source,scope,deferred_reason
lp21_bpm_geometry_structure,mandatory,complete,bpm_geometry_structure_png,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_bpm_geometry_structure.png,selected candidate geometry and reviewed RSoft manifest,"BPM geometry: SMF four-core, pitch, rotation, SCF, FMF, length",
lp21_bpm_launch_field,mandatory,complete,bpm_launch_field_png,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_bpm_launch_field.png,existing launch_mask_file .fld,coherent complex launch intensity and phase,
lp21_bpm_final_components,mandatory,complete,bpm_final_components_png,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_bpm_final_components.png,existing final Ex/Ey/Hx/Hy .fld files,final propagated component intensity and phase at L=6.13 mm,
lp21_bpm_propagation_xz_yz,mandatory,complete,bpm_propagation_xz_yz_png,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_bpm_propagation_xz_yz.png,existing xz.dat / yz.dat monitors,longitudinal propagation intensity,
lp21_bpm_modal_group_power_bar,mandatory,complete,group_power_png,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_rsoft_group_power_bars.png,reviewed projection group CSV/manifest,LP01/LP11/LP21/LP02 power accounting,
lp21_bpm_gate_i_metric_summary,mandatory,complete,bpm_gate_i_metric_summary_png,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_bpm_gate_i_metric_summary.png,reviewed projection manifest,eta/rho/ER/captured/offtarget/basis-condition Gate I metrics,
lp21_rsoft_projection_convention_sensitivity,recommended,complete,rsoft_projection_convention_sensitivity_png,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_rsoft_projection_convention_sensitivity.png,full-vector convention matrix rows,primary formula family is LP21-rich,
lp21_bpm_input_propagation_output_composite,recommended,complete,bpm_input_propagation_output_composite_png,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_bpm_input_propagation_output_composite.png,"launch mask, xz/yz monitors, final component fields",input to propagation to output visual comparison,
lp21_rsoft_raw_monitor_sanity,recommended,complete,rsoft_raw_monitor_sanity_png,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_rsoft_raw_monitor_sanity.png,TOTAL_POWER / FILE_POWER / WGMODE monitor probe CSVs,raw monitor sanity; diagnostic rows not formal modal purity,
true_3d_transverse_field_propagation_animation,deferred,deferred_by_scope,,,requires future z-snapshot BeamPROP run,"true E(x,y,z) transverse-field animation",robust/final-validation only; current report uses xz/yz longitudinal monitors
bpm_grid_step_span_convergence,deferred,deferred_by_scope,,,requires future convergence sweep,BPM grid/step/span convergence evidence,"future robust/final-validation claim, not current feasibility scope"
