requirement,status,evidence,remaining_action
overview_evidence_chain,complete,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_evidence_chain.png,
structure_top_view,complete_generated,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_structure_top_view.png,
longitudinal_workflow,complete_generated,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_longitudinal_workflow.png,
input_control,complete_generated,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_input_vector_controls.png,
mmi_gain_l0,complete_from_lumerical_delta_eta_vs_L0,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_lumerical_mmi_gain.png,exact L=0 row can be rerun later if final robust report needs a sampled baseline
near_candidate_rejected_table,complete_generated,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/data/lp21_near_candidates_and_rejections.csv,
scan_coverage_globality,complete_generated,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/data/lp21_scan_coverage_globality.csv,
mode_field_previews,complete_when_npz_present,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_lumerical_fde_mode_previews.png,not blocking feasibility if raw FDE NPZ package is present but figure cannot be generated
rsoft_bpm_field_panels,complete_when_raw_fields_present,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_rsoft_bpm_field_panels.png,not a new simulation; uses existing BeamPROP propagated fields
bpm_geometry_structure,complete_generated_from_existing_rsoft_artifacts,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_bpm_geometry_structure.png,
bpm_launch_field_intensity_phase,complete_generated_from_existing_rsoft_artifacts,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_bpm_launch_field.png,
bpm_final_components_intensity_phase,complete_generated_from_existing_rsoft_artifacts,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_bpm_final_components.png,
bpm_propagation_xz_yz,complete_generated_from_existing_rsoft_artifacts,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_bpm_propagation_xz_yz.png,"true E(x,y,z) transverse snapshots remain deferred"
bpm_input_propagation_output_composite,complete_generated_from_existing_rsoft_artifacts,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_bpm_input_propagation_output_composite.png,
bpm_modal_group_power_bar,complete_from_reviewed_projection,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_rsoft_group_power_bars.png,
bpm_gate_i_metric_summary,complete_from_reviewed_projection,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_bpm_gate_i_metric_summary.png,
rsoft_projection_convention_sensitivity,complete_from_convention_matrix,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_rsoft_projection_convention_sensitivity.png,
rsoft_raw_monitor_sanity,complete_from_monitor_probe_csv,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/figures/lp21_rsoft_raw_monitor_sanity.png,FILE_POWER/WGMODE rows remain diagnostic and are not formal modal purity
true_3d_transverse_field_propagation_animation,deferred_by_scope,,future BeamPROP z-snapshot run if robust/final-validation claim is needed
bpm_grid_step_span_convergence,deferred_by_scope,,future convergence sweep if robust/final-validation claim is needed
robustness,deferred_by_scope,Demo for user/2026-05-24_task_a_n4_lp21_like_camera_four_lobe/results/final_feasibility_report/data/lp21_deferred_risk_table.csv,future robustness/tolerance campaign only
experiment,not_run_by_scope,,future bench validation
